Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Binance,@binance,2024-04-03T00:00:06.000Z,True,"The #Binance towel comes everywhere with me...

Including breakfast 🍳",2.2K,589,2.1K,240K,['#Binance'],[],['\\U0001f373'],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775312284052554156,tweet_id:1775312284052554156
Ash Crypto,@Ashcryptoreal,2024-04-04T00:24:48.000Z,True,"Drop your $SOL address below and
make sure you are following me

Don’t ask why 👇🏼",2.2K,518,1.4K,104K,[],[],['\\U0001f447\\U0001f3fc'],https://pbs.twimg.com/profile_images/1699992200392712192/vA21X1rr_normal.jpg,https://twitter.com/Ashcryptoreal/status/1775680884982616105,tweet_id:1775680884982616105
Bitcoin,@Bitcoin,2024-04-03T03:19:33.000Z,True,"£52,356.70",156,141,767,161K,[],[],[],https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775362473790447725,tweet_id:1775362473790447725
Altcoin Daily,@AltcoinDailyio,2024-04-03T21:47:51.000Z,True,It only takes one good altcoin to change the world. ✨,435,66,632,68K,[],[],['\\u2728'],https://pbs.twimg.com/profile_images/1477451940611035136/hQByG8MW_normal.png,https://twitter.com/AltcoinDailyio/status/1775641390468493436,tweet_id:1775641390468493436
DOJA CAT,@DojaCat,2024-04-03T20:33:57.000Z,True,disrespectful is one of my top 3 fav,775,521,8K,454K,[],[],[],https://pbs.twimg.com/profile_images/1669565696131620866/nZBy8q1h_normal.jpg,https://twitter.com/DojaCat/status/1775622792463184000,tweet_id:1775622792463184000
President Biden,@POTUS,2024-04-03T17:15:00.000Z,True,"Some Congressional Republicans call the Affordable Connectivity Program wasteful.

I call it necessary.

It’s time Congress extended it so the 23 million households across America that rely on the program can stay connected.",1.3K,1.1K,3.6K,353K,[],[],[],https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg,https://twitter.com/POTUS/status/1775572722896044420,tweet_id:1775572722896044420
Joe Biden,@JoeBiden,2024-04-03T00:24:05.000Z,True,"Donald Trump won’t do what an American president must do.

He refuses to denounce political violence. 

I’ll say what Trump won’t: Political violence is never, ever acceptable in America.",18K,8.9K,30K,2.7M,[],[],[],https://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg,https://twitter.com/JoeBiden/status/1775318318376710399,tweet_id:1775318318376710399
Crypto Rover,@rovercrc,2024-04-03T10:42:00.000Z,True,"There is a massive #Bitcoin breakout coming.

Are you ready?",375,296,1.8K,120K,['#Bitcoin'],[],[],https://pbs.twimg.com/profile_images/1644208356523909122/M6D7PfWS_normal.jpg,https://twitter.com/rovercrc/status/1775473820662734849,tweet_id:1775473820662734849
Binance,@binance,2024-04-03T20:00:33.000Z,True,Max pain.,429,331,2.2K,196K,[],[],[],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775614385479626916,tweet_id:1775614385479626916
Nicki Minaj,@NICKIMINAJ,2024-04-04T02:03:49.000Z,True,"Ok so the vote is in. I’ll do a 25 tkt giveaway on station head in 10 mins. 

If I feel like it I’ll come on spaces & give out another 5-10 after that. 

The Generous Queen 👸🏽",539,558,2.8K,139K,[],[],['\\U0001f478\\U0001f3fd'],https://pbs.twimg.com/profile_images/1717601605833695232/tmJ6cbTv_normal.jpg,https://twitter.com/NICKIMINAJ/status/1775705806098276703,tweet_id:1775705806098276703
Kim Kardashian,@KimKardashian,2024-04-03T23:25:53.000Z,True,My whole heart,193,140,4.1K,203K,[],[],[],https://pbs.twimg.com/profile_images/1589659852271280128/KhrL02UB_normal.jpg,https://twitter.com/KimKardashian/status/1775666059741376637,tweet_id:1775666059741376637
Cardi B,@iamcardib,2024-04-03T18:46:13.000Z,True,I’m tired of people using me as their punching bag… LEAVE ME TF ALONE!! It’s my day off,754,2.4K,20K,981K,[],[],[],https://pbs.twimg.com/profile_images/1767309806073704448/biHbGkLx_normal.jpg,https://twitter.com/iamcardib/status/1775595676933509221,tweet_id:1775595676933509221
DUA LIPA,@DUALIPA,2024-04-03T18:12:37.000Z,True,"let’s take a deep dive shall weee, chapter one 🌊 https://dualipa.lnk.to/radicaloptimism",191,1.8K,14K,364K,[],[],['\\U0001f30a'],https://pbs.twimg.com/profile_images/1768006155270238208/TeMY2Ik6_normal.jpg,https://twitter.com/DUALIPA/status/1775587223921992026,tweet_id:1775587223921992026
Bitcoin,@Bitcoin,2024-04-03T09:22:03.000Z,True,"April 03, 2024 @ 09:21 AM (UTC)
Current Price of Bitcoin

(BTC-USD):        $66,484.80
(BTC-EUR):        €61,757.73",171,339,740,105K,[],[],[],https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775453702649708828,tweet_id:1775453702649708828
DOJA CAT,@DojaCat,2024-04-03T16:55:32.000Z,True,HOW is Pitbull not in the big 3?????????,721,1.6K,16K,1.1M,[],[],[],https://pbs.twimg.com/profile_images/1669565696131620866/nZBy8q1h_normal.jpg,https://twitter.com/DojaCat/status/1775567822757994873,tweet_id:1775567822757994873
