Content,label
"The #Binance towel comes everywhere with me...

Including breakfast 🍳",1
"Drop your $SOL address below and
make sure you are following me

Don’t ask why 👇🏼",1
"£52,356.70",1
It only takes one good altcoin to change the world. ✨,2
disrespectful is one of my top 3 fav,2
"Some Congressional Republicans call the Affordable Connectivity Program wasteful.

I call it necessary.

It’s time Congress extended it so the 23 million households across America that rely on the program can stay connected.",1
"Donald Trump won’t do what an American president must do.

He refuses to denounce political violence. 

I’ll say what Trump won’t: Political violence is never, ever acceptable in America.",0
"There is a massive #Bitcoin breakout coming.

Are you ready?",2
Max pain.,0
"Ok so the vote is in. I’ll do a 25 tkt giveaway on station head in 10 mins. 

If I feel like it I’ll come on spaces & give out another 5-10 after that. 

The Generous Queen 👸🏽",2
My whole heart,2
I’m tired of people using me as their punching bag… LEAVE ME TF ALONE!! It’s my day off,0
"let’s take a deep dive shall weee, chapter one 🌊 https://dualipa.lnk.to/radicaloptimism",2
"April 03, 2024 @ 09:21 AM (UTC)
Current Price of Bitcoin

(BTC-USD):        $66,484.80
(BTC-EUR):        €61,757.73",1
HOW is Pitbull not in the big 3?????????,0
"$35 a month insulin for seniors.
$35 inhalers for asthma.
$2,000 a year cap on prescription drugs for seniors starting next year.

With Senator Sanders' help, we’re showing how health care should be a right – not a privilege – in America.",2
Cryptoooo,1
MAJOR PUMP INCOMING.,1
The world is a stage. Joker: Folie à Deux trailer coming April 9. 🃏,1
Video shows abducted US girl fatally shot by police,0
https://share.stationhead.com/kgXBpFtPyx8MAY THE BEST BRAVEST BADDEST BARBZ WIN,2
"Bitcoin is going to $100,000

ETH is going to $10,000

Altcoins will pump 10x 

Halving in 15 days. 

You are not bullish enough.",1
what conan lyric feels like this,1
"The more Tether prints, the higher #Bitcoin goes.",2
Which of these artists is the biggest hit-maker ?,1
"#Bitcoin: Navigating the High Seas of Finance, Steering the Ship of Economic Evolution. ⛵💰🌊",1
album moments🌀I hear you… feeling optimistic about this week https://dualipa.lnk.to/radicaloptimism,2
"Not in the path of totality for the total solar #eclipse? On April 8, we'll bring totality to you by broadcasting from several locations along its trajectory, including @NASAGlenn—our only center in the eclipse’s path.

How to watch: http://go.nasa.gov/3vAvTbo",1
"It's a tough gig being the Binance intern.

(gm)",0
"Donald Trump doesn’t trust women.

I do.",0
"There is no bigger red flag in an adult than lack of children. 

If you’re 46 and not yet bored of weed and alcohol - you’re immature and soulless. 

How can you be trusted to vote?

You have a warped world view with zero vested interest in the future. 

The poorest people alive…",0
1 whole bitcoin hodlers are becoming RARE,1
Dogecoin as Tipping Option? 👀,1
"My targets for next 12-16 months:$BTC: $100k-$250k$ETH: $10k-$15k$BNB: $900-$1,400$SOL: $450-$650$XRP: $3-$5$DOGE: $1$DOT: $100-$120$LINK: $250-$500👇🏼",1
"€61,357.48",1
"Introducing a new Simple Earn Flexible Products promotion!

Subscribe to either SUI or USDT Simple Earn Flexible Products to grab your share of 20,000 SUI while also earning bonus APR.

Get started today ⤵️",2
"$69,416.50#Bitcoin  #BTC  $BTC $USD",1
"Through laws I wrote and signed, I enacted tax credits that save an average of $800 per person per year, reducing health care premiums for millions of families.

Those credits expire next year.

Congress, make that $800 expanded affordable health care tax credit permanent.",2
"You already made your statement, Donald.",1
Tag a light mode user 👇,1
Coinbase & BlackRock will pump crypto higher!,2
"£52,068.63",1
"Pitbull, Chingy, and Baby Bash",1
ETH WILL EXPLODE SOON 🔥,2
My station head seems to not be working guys. What a shocker,0
If I say I’m 25 then I’m 25 the fuk,0
Psalm 📷 by Saint,1
"The next #Bitcoin halving is just 2 weeks out.

And historically, the most gains are always realized after the halving.

Are you prepared?",2
Moment Taiwan maternity staff rush to keep babies safe during earthquake,1
"13,900 eggs.

$200,000 in rewards.

1 #Bitcoin.

Get started with the #Binance egg drop 👇",1
"Congratulations to @Int_Machines, @LunarOutpostInc, and @Astrolab_Space for being selected to move forward in developing the #Artemis lunar terrain vehicle!

This Moon rover will allow future astronauts to travel far on the lunar surface: https://go.nasa.gov/440SeM9",2
"I am outraged and heartbroken by the deaths of seven humanitarian workers from World Central Kitchen, including one American, in Gaza yesterday.
 
Incidents like yesterday’s simply should not happen.

Here is my full statement.",0
#Bitcoin is a Symbol of Digital Revolution and Financial Freedom. 💡🌐💸,2
Miss SHANEL DOES what must be done!!!!!,1
"Is whale watching on your bucket list?

If so, you'll be glad to know that you don't have to travel to do it.

Well, not for crypto whale watching anyway.",1
"I want HONEST criticism on this AI portfolio:

25% $BTC15% $TAO15% $RNDR10% $GRT10% @limewire5% $AKT5% $AIT5% $PAAL5% ",1
💙🤍❤️,2
"ARE YOU STILL WITH ME, 🇦🇷? ⭐️⭐️⭐️ #GUTSWorldTour",1
COMO MI AMOR,1
"£52,542.55",1
"Kamala and I continue to call on Congress to restore the protections of Roe in every state.

The majority of Americans support a woman's right to choose – including in Florida where voters will have the opportunity to support a reproductive freedom ballot initiative this fall.",1
The category is : albums that deserved way more success,2
White House wants Moon to have its own time zone,1
"Introducing the #BinanceClubhouse!

A global hub for all Binance users to connect, work, and talk all things crypto.

Stay tuned for more info to come 🤝",2
"Yesterday’s extreme Florida Supreme Court decision puts desperately needed medical care even further out of reach for millions of women in Florida and across the South. 

It’s outrageous—and it was made possible by Trump ending Roe v. Wade.",0
"£51,987.06#Bitcoin  #BTC  $BTC $GBP",1
"Ready to rock with @ThirdRockRadio for the April 8 #eclipse? Submit your favorite solar-themed songs to be added to a Sun, Moon and ""Eyes"" playlist: http://thirdrockradio.net/solar-songs/",1
"Baby steps, sir 😩😅",2
.@findingfletcher’s ‘In Search of the Antidote’ Debuts at No. 3 on Top Album Sales Chart,1
Only 3 more sleeps till #WrestleMania 40. Talking to @TheRock and @WWERomanReigns on the show tonight. #FinalBoss  #TribalChief,1
One #crypto that will show a monster God Candle this summer,1
✍🏿 Signature Script  👉🏿 http://rihanna.lnk.to/savagex,1
"Deadly air strike shows system to protect aid workers in crisis, agencies say",0
#Binance will list Wormhole $W with Seed Tag Applied.➡️ https://binance.com/en/support/announcement/49b5a226723e407cb7044d749bfda5b2?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…,1
Happy 90th birthday @janegoodallinst! And please give my regards to Mr. H. #JaneAt90 #GoodAllDay,2
Gaza aid convoy strike: What do we know?,1
Thank you NY for a night to remember!,2
Watch TOMORROW X TOGETHER Bring ‘Deja Vu’ to ‘Kelly Clarkson Show’,1
It’s not that no one told you.,1
"If the prior administration and extreme Republicans in Congress had succeeded in gutting the ACA, 45 million people nationwide would have lost their health insurance.",0
HELLOOO HAVE WE EVER SEEN THIS?,1
which album is making more noise this Friday?,1
Barbz since yall like yappyity yapping i took screenshots of who been on here. Yall asses report to station head I’m doing a #GAGCITY GIVEAWAY right now. In 10 mins. Who wanna win tickets?!?!!!🎫 🎟️ LET’S GO!!!!!!!!! Should I give away 50 tickets or 25 winners get a plus 1?,1
so about the cake! do we think conan would be proud 🥰,2
"I remember this. I remember him withdrawing me from the tournament when I was 6 years old.

I beat the first two adults, then lost 3 in a row.

I asked: Will I be able to beat them at chess when Im grown up?

He replied: Son, once youre grown up, youll beat anyone at anything",1
The #Bitcoin halving is now only about 17 days away 👀,1
All eyes are on the sky on April 8 for the total solar #eclipse! Did you know you can help us @DoNASAScience while experiencing the big event? Listen in from @NASASun scientists in this episode of our Curious Universe podcast:https://go.nasa.gov/4aie3cf,2
R.I.P. Gale Sparrow.,1
"#BITCOIN WILL HIT $100,000 IN NEXT 3 MONTHS OR I AM DELETING MY "" X "" ACCOUNT",1
Trading is now live for @ethena_labs $ENA on #Binance➡️ https://binance.com/en/trade/ENA_USDT?type=spot&ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…,1
Vechain’s importance isn’t talked about enough. $VET,1
¿Cuál es el mejor video de Shakira y por qué?,1
"Inhalers cost less than $5 to make.

But drug companies charge Americans up to $600 to increase their profits.

My Administration has been cracking down on Big Pharma – and now, three of the four largest inhaler manufacturers are capping out-of-pocket costs at $35.",1
Lulu: I don't speak before 12 noon. I'm not lying,1
como mi amor? daily?,1
teniamos que recordarles que somos latinas ig,1
GUYS. HE ANSWERED MY QUESTION IM GONNA CRYYY I LOVE THIS MAN SO MUCH,2
The category is : most controversial music videos,1
Polls are opening up in states across the country. Head to http://IWillVote.com to confirm your polling place.,1
The final deadline for 7 Spot #Ethereum ETFs is in 50 days!,1
CAN YOU GUYS GIVE ME A RUNDOWN ON EVERYTHING HE SAID ABOUT THE UNRELEASED TRACKS,1
Google looks to AI paywall option - report,1
Solar Eclipse 2024: How to Watch & Stream Live from Anywhere,1
"GagCity was everything!!! Nicki, Monica, and 50 cent did what needed to be done!!! 💕 #gagcitydc",2
"LIVE NOW: How will future @NASAArtemis astronauts drive across the surface of the Moon?

We're announcing the companies that will advance the capabilities of the lunar terrain vehicle, a rover for exploration during the #Artemis V missions and beyond.",1
"Time to supply you with some crypto knowledge.

Literally.

Maximum, total, and circulating supply explained 👇",1
"For anyone who received a checkmark today, you can earn money for the stuff you're already posting. No extra effort required.

Apply to be monetized in Settings > Monetization",2
"Explore new taker fee promotions on #Binance! 

You can now trade $USDC spot and margin trading pairs to enjoy discounted taker fees from 10 April, 2024.  

Learn more ⤵️",2
Tune in as I deliver remarks on lowering health care costs for Americans.,1
Oh this is EXTREMELY  GAGGY babe,2
Like what ?,1
Truck crash spills live salmon into wrong Oregon river,0
"Celebrate the upcoming #Bitcoin halving with the #Binance Futures Ultimate Challenge.

Join the daily price prediction and weekly task challenges for a chance to win #BTC rewards and a Tesla Model Y!

Join now ➡️ https://binance.com/en/events/bitcoin-halving?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…",2
🚨 BREAKING 🚨GRAYSCALE HAS TRANSFERRED 1983 BTC WORTH $131.4 MILLION TO COINBASE,1
"#Bitcoin always pumps after the halving.

- 1st Halving: +8,000%
- 2nd Halving: +3,000%
- 3rd Halving: +800%

In 15 days, the 4th halving is here.

Are you mentally prepared?",1
"Today, I had a candid conversation with President Xi Jinping of the People’s Republic of China on a range of issues, including areas of cooperation and areas of difference.

I emphasized the importance of maintaining peace and stability across the Taiwan Strait and in the South…",1
Same reason why you felt comfortable calling me a Mexican when I’m Dominican and I asked you why you feel comfortable calling me a Mexican when ice and jharell Jerome Zoe Saldana are Dominicans and you don’t do that to them. You do it to me because you know that’s what people use…,1
#GagCityBaltimore IS TAKING IT!!!!!!!!!!!!!!!!!!!!!!!! DMV I MISSED YOUUUUUUUUUUUUUUUUUUUU!!!!!!!!!!YALL DONT KNOW MAN. 😩🛸🏙️ thank you. Idk what to say. The best night I’ve ever had on earth AND #GagCity. May God bless each & every one of you. I’ll never forget you. #HeavyOnIt,2
