Content,label,lang
"The #Binance towel comes everywhere with me...

Including breakfast 🍳",1,en
"Drop your $SOL address below and
make sure you are following me

Don’t ask why 👇🏼",1,en
It only takes one good altcoin to change the world. ✨,2,en
disrespectful is one of my top 3 fav,2,en
"Some Congressional Republicans call the Affordable Connectivity Program wasteful.

I call it necessary.

It’s time Congress extended it so the 23 million households across America that rely on the program can stay connected.",1,en
"Donald Trump won’t do what an American president must do.

He refuses to denounce political violence. 

I’ll say what Trump won’t: Political violence is never, ever acceptable in America.",0,en
"There is a massive #Bitcoin breakout coming.

Are you ready?",2,en
"Ok so the vote is in. I’ll do a 25 tkt giveaway on station head in 10 mins. 

If I feel like it I’ll come on spaces & give out another 5-10 after that. 

The Generous Queen 👸🏽",2,en
My whole heart,2,en
I’m tired of people using me as their punching bag… LEAVE ME TF ALONE!! It’s my day off,0,en
"April 03, 2024 @ 09:21 AM (UTC)
Current Price of Bitcoin

(BTC-USD):        $66,484.80
(BTC-EUR):        €61,757.73",1,en
HOW is Pitbull not in the big 3?????????,0,en
"$35 a month insulin for seniors.
$35 inhalers for asthma.
$2,000 a year cap on prescription drugs for seniors starting next year.

With Senator Sanders' help, we’re showing how health care should be a right – not a privilege – in America.",2,en
Cryptoooo,1,en
The world is a stage. Joker: Folie à Deux trailer coming April 9. 🃏,1,en
Video shows abducted US girl fatally shot by police,0,en
https://share.stationhead.com/kgXBpFtPyx8MAY THE BEST BRAVEST BADDEST BARBZ WIN,2,en
"Bitcoin is going to $100,000

ETH is going to $10,000

Altcoins will pump 10x 

Halving in 15 days. 

You are not bullish enough.",1,en
what conan lyric feels like this,1,en
"The more Tether prints, the higher #Bitcoin goes.",2,en
Which of these artists is the biggest hit-maker ?,1,en
"#Bitcoin: Navigating the High Seas of Finance, Steering the Ship of Economic Evolution. ⛵💰🌊",1,en
album moments🌀I hear you… feeling optimistic about this week https://dualipa.lnk.to/radicaloptimism,2,en
"Not in the path of totality for the total solar #eclipse? On April 8, we'll bring totality to you by broadcasting from several locations along its trajectory, including @NASAGlenn—our only center in the eclipse’s path.

How to watch: http://go.nasa.gov/3vAvTbo",1,en
"It's a tough gig being the Binance intern.

(gm)",0,en
"There is no bigger red flag in an adult than lack of children. 

If you’re 46 and not yet bored of weed and alcohol - you’re immature and soulless. 

How can you be trusted to vote?

You have a warped world view with zero vested interest in the future. 

The poorest people alive…",0,en
1 whole bitcoin hodlers are becoming RARE,1,en
Dogecoin as Tipping Option? 👀,1,en
"Introducing a new Simple Earn Flexible Products promotion!

Subscribe to either SUI or USDT Simple Earn Flexible Products to grab your share of 20,000 SUI while also earning bonus APR.

Get started today ⤵️",2,en
"$69,416.50#Bitcoin  #BTC  $BTC $USD",1,en
"Through laws I wrote and signed, I enacted tax credits that save an average of $800 per person per year, reducing health care premiums for millions of families.

Those credits expire next year.

Congress, make that $800 expanded affordable health care tax credit permanent.",2,en
"You already made your statement, Donald.",1,en
Tag a light mode user 👇,1,en
Coinbase & BlackRock will pump crypto higher!,2,en
"Pitbull, Chingy, and Baby Bash",1,en
My station head seems to not be working guys. What a shocker,0,en
If I say I’m 25 then I’m 25 the fuk,0,en
Psalm 📷 by Saint,1,en
"The next #Bitcoin halving is just 2 weeks out.

And historically, the most gains are always realized after the halving.

Are you prepared?",2,en
Moment Taiwan maternity staff rush to keep babies safe during earthquake,1,en
"13,900 eggs.

$200,000 in rewards.

1 #Bitcoin.

Get started with the #Binance egg drop 👇",1,en
"Congratulations to @Int_Machines, @LunarOutpostInc, and @Astrolab_Space for being selected to move forward in developing the #Artemis lunar terrain vehicle!

This Moon rover will allow future astronauts to travel far on the lunar surface: https://go.nasa.gov/440SeM9",2,en
"I am outraged and heartbroken by the deaths of seven humanitarian workers from World Central Kitchen, including one American, in Gaza yesterday.
 
Incidents like yesterday’s simply should not happen.

Here is my full statement.",0,en
#Bitcoin is a Symbol of Digital Revolution and Financial Freedom. 💡🌐💸,2,en
Miss SHANEL DOES what must be done!!!!!,1,en
"Is whale watching on your bucket list?

If so, you'll be glad to know that you don't have to travel to do it.

Well, not for crypto whale watching anyway.",1,en
"I want HONEST criticism on this AI portfolio:

25% $BTC15% $TAO15% $RNDR10% $GRT10% @limewire5% $AKT5% $AIT5% $PAAL5% ",1,en
"ARE YOU STILL WITH ME, 🇦🇷? ⭐️⭐️⭐️ #GUTSWorldTour",1,en
"Kamala and I continue to call on Congress to restore the protections of Roe in every state.

The majority of Americans support a woman's right to choose – including in Florida where voters will have the opportunity to support a reproductive freedom ballot initiative this fall.",1,en
The category is : albums that deserved way more success,2,en
White House wants Moon to have its own time zone,1,en
"Introducing the #BinanceClubhouse!

A global hub for all Binance users to connect, work, and talk all things crypto.

Stay tuned for more info to come 🤝",2,en
"Yesterday’s extreme Florida Supreme Court decision puts desperately needed medical care even further out of reach for millions of women in Florida and across the South. 

It’s outrageous—and it was made possible by Trump ending Roe v. Wade.",0,en
"£51,987.06#Bitcoin  #BTC  $BTC $GBP",1,en
"Ready to rock with @ThirdRockRadio for the April 8 #eclipse? Submit your favorite solar-themed songs to be added to a Sun, Moon and ""Eyes"" playlist: http://thirdrockradio.net/solar-songs/",1,en
"Baby steps, sir 😩😅",2,en
.@findingfletcher’s ‘In Search of the Antidote’ Debuts at No. 3 on Top Album Sales Chart,1,en
Only 3 more sleeps till #WrestleMania 40. Talking to @TheRock and @WWERomanReigns on the show tonight. #FinalBoss  #TribalChief,1,en
One #crypto that will show a monster God Candle this summer,1,en
"Deadly air strike shows system to protect aid workers in crisis, agencies say",0,en
#Binance will list Wormhole $W with Seed Tag Applied.➡️ https://binance.com/en/support/announcement/49b5a226723e407cb7044d749bfda5b2?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…,1,en
Happy 90th birthday @janegoodallinst! And please give my regards to Mr. H. #JaneAt90 #GoodAllDay,2,en
Gaza aid convoy strike: What do we know?,1,en
Thank you NY for a night to remember!,2,en
Watch TOMORROW X TOGETHER Bring ‘Deja Vu’ to ‘Kelly Clarkson Show’,1,en
It’s not that no one told you.,1,en
"If the prior administration and extreme Republicans in Congress had succeeded in gutting the ACA, 45 million people nationwide would have lost their health insurance.",0,en
HELLOOO HAVE WE EVER SEEN THIS?,1,en
which album is making more noise this Friday?,1,en
Barbz since yall like yappyity yapping i took screenshots of who been on here. Yall asses report to station head I’m doing a #GAGCITY GIVEAWAY right now. In 10 mins. Who wanna win tickets?!?!!!🎫 🎟️ LET’S GO!!!!!!!!! Should I give away 50 tickets or 25 winners get a plus 1?,1,en
so about the cake! do we think conan would be proud 🥰,2,en
"I remember this. I remember him withdrawing me from the tournament when I was 6 years old.

I beat the first two adults, then lost 3 in a row.

I asked: Will I be able to beat them at chess when Im grown up?

He replied: Son, once youre grown up, youll beat anyone at anything",1,en
The #Bitcoin halving is now only about 17 days away 👀,1,en
All eyes are on the sky on April 8 for the total solar #eclipse! Did you know you can help us @DoNASAScience while experiencing the big event? Listen in from @NASASun scientists in this episode of our Curious Universe podcast:https://go.nasa.gov/4aie3cf,2,en
R.I.P. Gale Sparrow.,1,en
